"Category","CDDB_ID","TrackNumber","TrackName","TrackSeconds","mm:ss","TrackOffset","Notes"
"blues","01121511","1","Say What!","324","05:24","150",""
"blues","01121511","2","Look At Little Sister","188","03:08","24490",""
"blues","01121511","3","Change It","237","03:57","38627",""
"blues","01121511","4","Come On (Part III)","271","04:31","56472",""
"blues","01121511","5","Life Without You","258","04:18","76800",""
"blues","01121511","6","Little Wing","407","06:47","96192",""
"blues","01121511","7","Willie The Wimp (Live)","274","04:34","126765",""
"blues","01121511","8","Superstition (Live)","281","04:41","147375",""
"blues","01121511","9","Leave My Girl Alone (Live)","287","04:47","168515",""
"blues","01121511","10","The House Is Rockin'","144","02:24","190095",""
"blues","01121511","11","Crossfire","250","04:10","200915",""
"blues","01121511","12","Tightrope","280","04:40","219717",""
"blues","01121511","13","Wall Of Denial","336","05:36","240720",""
"blues","01121511","14","Riviera Paradise","530","08:50","265955",""
"blues","01121511","15","Telephone Song (The Vaughan Bros.)","209","03:29","305745",""
"blues","01121511","16","Long Way From Home (The Vaughan Bros.)","197","03:17","321477",""
"blues","01121511","17","Life By The Drop","147","02:27","336287",""
"blues","1711b911","1","Lookin' Out The Window","280","04:40","150",""
"blues","1711b911","2","Look At Little Sister","289","04:49","21155",""
"blues","1711b911","3","Willie The Wimp","407","06:47","42830",""
"blues","1711b911","4","The House Is Rockin'","144","02:24","73415",""
"blues","1711b911","5","Crossfire","267","04:27","84260",""
"blues","1711b911","6","Wall Of Denial","337","05:37","104330",""
"blues","1711b911","7","Dirty Pool","228","03:48","129607",""
"blues","1711b911","8","Goin' Down","329","05:29","146737",""
"blues","1711b911","9","Rude Mood","180","03:00","171447",""
"blues","1711b911","10","Pride And Joy","224","03:44","184955",""
"blues","1711b911","11","Testify","191","03:11","201785",""
"blues","1711b911","12","Long Way From Home","196","03:16","216155",""
"blues","1711b911","13","Tightrope","318","05:18","230915",""
"blues","1711b911","14","Cold Shot","399","06:39","254800",""
"blues","1711b911","15","The Things (That) I Used To Do","260","04:20","284765",""
"blues","1711b911","16","Let Me Love You Baby","205","03:25","304285",""
"blues","1711b911","17","Leave My Girl Alone","276","04:36","319660",""
"blues","2d121815","1","Buddy Guy / Poison Ivy","206","03:26","150",""
"blues","2d121815","2","Buddy Guy / One Room Country Shack","336","05:36","15612",""
"blues","2d121815","3","Buddy Guy / Mary Had A Little Lamb","149","02:29","40885",""
"blues","2d121815","4","Buddy Guy / Sweet Little Angel","337","05:37","52100",""
"blues","2d121815","5","Buddy Guy With Junior Wells / (I Got A) Stomach Ache","208","03:28","77447",""
"blues","2d121815","6","Buddy Guy With Junior Wells / Vietcong Blues","301","05:01","93067",""
"blues","2d121815","7","The Otis Rush Blues Band / Everything's Going To Turn Out Alright","234","03:54","115645",""
"blues","2d121815","8","The Otis Rush Blues Band / Rock","215","03:35","133267",""
"blues","2d121815","9","The Otis Rush Blues Band / It's My Own Fault","358","05:58","149392",""
"blues","2d121815","10","The Otis Rush Blues Band / It's A Mean Old World","144","02:24","176242",""
"blues","2d121815","11","Homesick James And His Dusters / Dust My Broom","199","03:19","187042",""
"blues","2d121815","12","J. B. Hutto And His Hawks / That's The Truth","169","02:49","201967",""
"blues","2d121815","13","John Hammond With Robbie Robertson / Long Distance Call","201","03:21","214647",""
"blues","2d121815","14","John Hammond With Robbie Robertson / Who Do You Love","181","03:01","229722",""
"blues","2d121815","15","John Hammond With Robbie Robertson / Rambling Blues","196","03:16","243367",""
"blues","2d121815","16","Lightnin' Hopkins / Baby Please Don't Go","165","02:45","258127",""
"blues","2d121815","17","John Lee Hooker / I Can't Quit You Baby-Stop Now Baby","169","02:49","270535",""
"blues","2d121815","18","Muddy Waters / Walkin' Blues","245","04:05","283212",""
"blues","2d121815","19","Muddy Waters / I Can't Be Satisfied","170","02:50","301615",""
"blues","2d121815","20","Muddy Waters / Nineteen Years Old","301","05:01","314432",""
"blues","2d121815","21","The Siegel-Schwall Band / Down In The Bottom","140","02:20","337010",""
"blues","5809e408","1","Hide Away","199","03:19","150",""
"blues","5809e408","2","Rude Mood","294","04:54","15092",""
"blues","5809e408","3","Pride And Joy","240","04:00","37180",""
"blues","5809e408","4","Texas Flood","627","10:27","55230",""
"blues","5809e408","5","Love Struck Baby","173","02:53","102285",""
"blues","5809e408","6","Dirty Pool","496","08:16","115277",""
"blues","5809e408","7","Give Me Back My Wig","210","03:30","152532",""
"blues","5809e408","8","Collins Shuffle","289","04:49","168302",""
"blues","6c10820a","1","Ain't Gone 'N' Give Up On Love","368","06:08","150",""
"blues","6c10820a","2","Leave My Girl Alone","253","04:13","27750",""
"blues","6c10820a","3","Tin Pan Alley (aka Roughest Place In Town) (Live)","686","11:26","46745",""
"blues","6c10820a","4","Chitlins Con Carne","235","03:55","98257",""
"blues","6c10820a","5","The Things (That) I Used To Do","294","04:54","115930",""
"blues","6c10820a","6","The Sky Is Crying","248","04:08","138010",""
"blues","6c10820a","7","Texas Flood (video version)","583","09:43","156672",""
"blues","6c10820a","8","May I Have A Talk With You","349","05:49","200470",""
"blues","6c10820a","9","Dirty Pool","300","05:00","226650",""
"blues","6c10820a","10","Blues At Sunrise (Live)","905","15:05","249165",""
"blues","760d5e0a","1","Pride And Joy/Bonnie Raitt","258","04:18","150",""
"blues","760d5e0a","2","Texas Flood/Jimmie Vaughan","299","04:59","19560",""
"blues","760d5e0a","3","Telephone Song/B.B. King","305","05:05","42057",""
"blues","760d5e0a","4","Long Way From Home/Buddy Guy","286","04:46","64957",""
"blues","760d5e0a","5","Ain't Gone'N Give Up On Your Love/Eric Clapton","473","07:53","86415",""
"blues","760d5e0a","6","Love Struck Baby/Robert Cray","206","03:26","121902",""
"blues","760d5e0a","7","Cold Shot/Dr. John","285","04:45","137357",""
"blues","760d5e0a","8","Six Strings Down/All & Art Neville","395","06:35","158740",""
"blues","760d5e0a","9","Tick Tock/All & Art Neville","344","05:44","188412",""
"blues","760d5e0a","10","SRV Shuffle/All & Art Neville","567","09:27","214272",""
"blues","770bb10a","1","You Got My Letter","262","04:22","150",""
"blues","770bb10a","2","Some Change","371","06:11","19825",""
"blues","770bb10a","3","I'll Be The One","329","05:29","47670",""
"blues","770bb10a","4","Call Me","198","03:18","72402",""
"blues","770bb10a","5","Fly Like A Bird","215","03:35","87275",""
"blues","770bb10a","6","Sierra","321","05:21","103472",""
"blues","770bb10a","7","Lost It","352","05:52","127580",""
"blues","770bb10a","8","Time","258","04:18","154017",""
"blues","770bb10a","9","Illusion","328","05:28","173432",""
"blues","770bb10a","10","Follow That Man","353","05:53","198077",""
"blues","8309180a","1","Boot Hill","136","02:16","150","Writer Unknown\n\nProduced by Jim Gaines and Stevie Ray Vaughan And \nDouble Trouble\nRecorded at Kiva Studios, Memphis TN 2/89-4/89\nEngineers: Jim Gaines andRichard Mullen"
"blues","8309180a","2","The Sky Is Crying","278","04:38","10360","E. James, M. Levy, C. Lewis\n\nProduced by Stevie Ray Vaughan/Double Trouble\nand Richard Mullen\nRecorded at the Dallas Sound Lab, Dallas TX 3/85-5/85\nEngineer: RichardMullen\nAssistant Engineer: Ron Cote"
